0 A11 6 A34 A43 684 A65 A75 4 A93 A101 4 A121 76 A143 A152 2 A173 1 A192 A201 1
1 A12 48 A32 A43 12974 A61 A73 2 A92 A101 2 A121 22 A143 A152 1 A173 1 A191 A201 2
2 A14 12 A34 A46 5996 A61 A74 2 A93 A101 3 A121 58 A143 A152 1 A172 2 A191 A201 1
3 A11 42 A32 A42 1749 A61 A74 2 A93 A103 4 A122 88 A143 A153 1 A173 2 A191 A201 1
4 A11 24 A33 A40 12431 A61 A73 3 A93 A101 4 A124 24 A143 A153 2 A173 2 A191 A201 2
5 A14 36 A32 A46 6600 A65 A73 2 A93 A101 4 A124 48 A143 A153 1 A172 2 A192 A201 1
6 A14 24 A32 A42 7753 A63 A75 3 A93 A101 4 A122 87 A143 A152 1 A173 1 A191 A201 1
7 A12 36 A32 A41 8158 A61 A73 2 A93 A101 2 A123 89 A143 A151 1 A174 1 A192 A201 1
8 A14 12 A32 A43 929 A64 A74 2 A91 A101 4 A121 88 A143 A152 1 A172 1 A191 A201 1
9 A12 30 A34 A40 12332 A61 A71 4 A94 A101 2 A123 41 A143 A152 2 A174 1 A191 A201 2
10 A12 12 A32 A40 11671 A61 A72 3 A92 A101 1 A123 27 A143 A151 1 A173 1 A191 A201 2
11 A11 48 A32 A49 11380 A61 A72 3 A92 A101 4 A122 18 A143 A151 1 A173 1 A191 A201 2
12 A12 12 A32 A43 6649 A61 A73 1 A92 A101 1 A123 76 A143 A152 1 A173 1 A192 A201 1
13 A11 24 A34 A40 10995 A61 A75 4 A93 A101 4 A123 25 A143 A152 2 A172 1 A191 A201 2
14 A11 15 A32 A40 4989 A61 A73 2 A92 A101 4 A123 86 A143 A151 1 A173 1 A191 A201 1
15 A11 24 A32 A43 7950 A62 A73 4 A92 A101 2 A123 28 A143 A152 1 A172 1 A191 A201 2
16 A14 24 A34 A43 622 A65 A75 4 A93 A101 4 A122 52 A143 A152 2 A173 1 A191 A201 1
17 A11 30 A30 A49 1030 A65 A72 2 A93 A101 3 A123 40 A141 A152 3 A173 1 A191 A201 1
18 A12 24 A32 A41 12935 A61 A75 4 A92 A101 2 A124 24 A143 A153 1 A174 1 A192 A201 2
19 A14 24 A32 A43 1749 A63 A75 3 A93 A101 2 A123 63 A143 A152 1 A173 2 A192 A201 1
20 A14 9 A34 A40 3415 A61 A73 4 A93 A101 4 A123 47 A143 A152 3 A173 1 A192 A201 1
21 A11 6 A32 A43 7304 A63 A73 2 A93 A101 3 A121 75 A143 A151 1 A173 2 A191 A201 1
22 A11 10 A34 A40 2479 A61 A72 1 A93 A101 3 A121 75 A143 A151 2 A172 2 A191 A202 1
